N,Z,binding,A,binding_MeV,N_frontier,d
73,54,8434.1066,127,1071.1315382,83.4,-10.400000000000006
79,60,8323.6642,139,1156.9893238,91.6,-12.599999999999994
31,21,8534.6695,52,443.802814,33.099999999999994,-2.0999999999999943
54,51,8300.9923,105,871.6041915000001,79.3,-25.299999999999997
57,41,8596.3016,98,842.4375568,64.5,-7.5
124,83,7854.5053,207,1625.8825970999999,129.0,-5.0
37,36,8460.1847,73,617.5934831,55.4,-18.4
79,53,8406.4628,132,1109.6530896,82.3,-3.299999999999997
114,78,7942.4923,192,1524.9585216,117.1,-3.0999999999999943
134,94,7590.4039,228,1730.6120892000001,147.3,-13.300000000000011
115,81,7888.29,196,1546.10484,124.4,-9.400000000000006
96,65,8174.4809,161,1316.0914248999998,97.6,-1.5999999999999943
94,72,8056.4386,166,1337.3688076,106.9,-12.900000000000006
36,23,8403.8034,59,495.82440060000005,36.5,-0.5
66,43,8444.1796,109,920.4155764,67.9,-1.9000000000000057
82,55,8388.9581,137,1149.2872597,85.0,-3.0
78,63,8217.6853,141,1158.6936273,94.6,-16.599999999999994
152,102,7423.5909,254,1885.5920886,155.1,-3.0999999999999943
32,24,8723.2609,56,488.5026104,37.599999999999994,-5.599999999999994
114,79,7924.1648,193,1529.3638064,119.0,-5.0
45,30,8592.4981,75,644.4373575,45.7,-0.7000000000000028
50,37,8710.9843,87,757.8556341,57.4,-7.399999999999999
23,16,8344.2698,39,325.42652219999997,26.099999999999998,-3.099999999999998
60,46,8579.9934,106,909.4793003999999,72.7,-12.700000000000003
96,72,8065.5536,168,1355.0130047999999,106.9,-10.900000000000006
5,7,6170.11,12,74.04131999999998,13.5,-8.5
16,13,8348.4647,29,242.10547630000002,23.4,-7.399999999999999
47,44,8442.9287,91,768.3065117,69.0,-22.0
28,28,8642.7811,56,483.99574160000003,43.8,-15.799999999999997
61,54,8300.9704,115,954.6115960000001,83.4,-22.400000000000006
120,87,7756.2689,207,1605.5476623,135.2,-15.199999999999989
7,7,7475.6148,14,104.6586072,13.5,-6.5
36,31,8707.533,67,583.404711,47.599999999999994,-11.599999999999994
119,80,7905.2794,199,1573.1506006000002,122.19999999999999,-3.1999999999999886
73,66,7971.0,139,1107.969,98.9,-25.900000000000006
29,25,8737.9768,54,471.8507472,39.3,-10.299999999999997
27,17,8234.4788,44,362.31706720000005,28.099999999999998,-1.0999999999999979
146,96,7534.504,242,1823.349968,149.6,-3.5999999999999943
147,98,7499.6644,245,1837.4177779999998,152.3,-5.300000000000011
38,39,8278.0,77,637.4060000000001,60.099999999999994,-22.099999999999994
20,25,7747.0,45,348.615,39.3,-19.299999999999997
114,80,7914.5974,194,1535.4318956,122.19999999999999,-8.199999999999989
18,22,7865.8632,40,314.634528,34.2,-16.200000000000003
71,52,8465.537,123,1041.261051,80.7,-9.700000000000003
118,82,7881.8101,200,1576.36202,125.4,-7.400000000000006
49,36,8698.5633,85,739.3778805,55.4,-6.399999999999999
97,74,8008.1158,171,1369.3878017999998,111.0,-14.0
70,48,8487.835,118,1001.5645299999999,74.0,-4.0
